episodes,avg_train_total_reward,avg_train_end_l2,avg_eval_total_reward,avg_eval_end_l2,eval_sod_reward,eval_sod_end_l2,time_elapsed,proportion_training,proportion_evalating,total_timesteps,loss,sample_r1,sample_a1
370,-59.09970118877359,0.010322627410962907,-9.824685516397116,5.074067859298216e-05,-9.824685516397116,5.074067859298216e-05,12188,0.9918728421273164,0.008127157872683598,370000,58.788549439588735,-126.65018863025797,"[[0.003,0.959,0.038],[0.654,0.179,0.167]]"
380,-58.372892686576165,0.01028960482378452,-9.62545306793046,4.924689343117026e-05,-9.62545306793046,4.924689343117026e-05,12543,0.9924028724813435,0.00759712751865649,380000,58.01552186535033,-2.075060256957412e-09,"[[0.057,0.811,0.133],[0.062,0.571,0.367]]"
390,-57.50959245072981,0.010239860553308727,-9.37375663584184,4.726255188197858e-05,-9.37375663584184,4.726255188197858e-05,12888,0.9925292705025016,0.007470729497498371,390000,57.05159954411372,-1.3091550066235402e-11,"[[0.218,0.489,0.292],[0.256,0.398,0.346]]"
400,-56.30741178271994,0.010147552373116805,-8.995734314456348,4.4512405756399424e-05,-8.995734314456348,4.4512405756399424e-05,13231,0.9931153142099524,0.006884685790047679,400000,55.57607248424618,-1.4551814420118504e-09,"[[0.882,0.103,0.016],[0.02,0.488,0.492]]"
410,-54.270666030348366,0.009972617313845255,-8.416585797532651,4.165756119441641e-05,-8.416585797532651,4.165756119441641e-05,13579,0.9930636481994849,0.006936351800515149,410000,53.01371670073112,-5.490953262588249,"[[0.037,0.834,0.129],[0.034,0.42,0.546]]"
420,-51.026799517036956,0.009600472004291058,-7.797997327849035,3.7073096671077355e-05,-7.797997327849035,3.7073096671077355e-05,13920,0.9932611169134344,0.006738883086565596,420000,49.1990522889106,-2.940888510491767e-08,"[[0.004,0.672,0.324],[0.415,0.233,0.352]]"
430,-46.76527262831153,0.009066486207580705,-7.286712953925576,2.977978926147595e-05,-7.286712953925576,2.977978926147595e-05,14261,0.9936256825401563,0.006374317459843781,430000,44.883279099510084,-2.1535924677586036e-05,"[[0.213,0.475,0.312],[0.256,0.397,0.348]]"
440,-42.91384511249283,0.00862279622592565,-6.835323387687947,2.4290095855829218e-05,-6.835323387687947,2.4290095855829218e-05,14608,0.9933686000489181,0.006631399951081899,440000,41.39009841314287,-1.421085471520199e-15,"[[0.199,0.7,0.101],[0.247,0.595,0.158]]"
450,-39.73610344987004,0.008200160342669273,-6.39513143436115,1.9267018736099962e-05,-6.39513143436115,1.9267018736099962e-05,14955,0.993608334693544,0.006391665306455948,450000,38.47932684111529,-256.0579122729856,"[[0.003,0.167,0.829],[0.78,0.103,0.118]]"
460,-37.40747795060352,0.0077780624435256265,-6.039018101481429,1.5415290125498486e-05,-6.039018101481429,1.5415290125498486e-05,15299,0.9939845609950145,0.006015439004985466,460000,36.57079082223957,-5.49351675260822e-11,"[[0.064,0.83,0.106],[0.112,0.473,0.415]]"
470,-35.69584890382528,0.007440655582377428,-5.793694925645338,1.2904329854780694e-05,-5.793694925645338,1.2904329854780694e-05,15653,0.9936558733480406,0.0063441266519594025,470000,35.03377530412172,-0.8817809205823696,"[[0.207,0.49,0.303],[0.26,0.397,0.343]]"
480,-34.188694598052834,0.007277429368850975,-5.616377141541022,1.0814214539516823e-05,-5.616377141541022,1.0814214539516823e-05,15998,0.9939287018811226,0.006071298118877398,480000,33.478070273794124,-75.51355606744956,"[[0.001,0.137,0.862],[0.612,0.18,0.207]]"
490,-32.6752904710623,0.007182592845025207,-5.454592020594539,9.182749807545049e-06,-5.454592020594539,9.182749807545049e-06,16352,0.9940922122485489,0.005907787751451065,490000,32.081746416291935,-30.311425443967433,"[[0.204,0.497,0.299],[0.26,0.397,0.343]]"
500,-31.473884337949137,0.007017805285047675,-5.301005192389259,7.918096982328423e-06,-5.301005192389259,7.918096982328423e-06,16711,0.9940217423754892,0.005978257624510817,500000,31.0137760724395,-10.065985057068428,"[[0.203,0.501,0.296],[0.261,0.396,0.343]]"
510,-30.53866403993762,0.006849334260390361,-5.1906335925567495,7.120110654371219e-06,-5.1906335925567495,7.120110654371219e-06,17065,0.9941057582068122,0.005894241793187793,510000,30.177306288480974,-2.5755098054247546e-11,"[[0.203,0.504,0.293],[0.261,0.397,0.343]]"
520,-29.79485434174817,0.006722946866315946,-5.099232281049204,6.575666177379391e-06,-5.099232281049204,6.575666177379391e-06,17421,0.9944289613244643,0.005571038675535629,520000,29.501935118431142,-5.992205099261885e-07,"[[0.203,0.508,0.289],[0.26,0.398,0.342]]"
530,-29.18501737087862,0.006616601317743953,-5.013467396431012,6.20305472166515e-06,-5.013467396431012,6.20305472166515e-06,17774,0.9943576948336832,0.005642305166316818,530000,28.94159231021959,-26.865089528506907,"[[0.203,0.511,0.286],[0.26,0.398,0.342]]"
540,-28.678760994140173,0.006538249298333412,-4.93974690512719,5.964363753427573e-06,-4.93974690512719,5.964363753427573e-06,18122,0.994405494053384,0.005594505946615993,540000,28.47454892671237,-0.025312680298837847,"[[0.23,0.751,0.019],[0.21,0.651,0.14]]"
550,-28.24729696480016,0.006485537168019209,-4.875066213679539,5.789919056369609e-06,-4.875066213679539,5.789919056369609e-06,18470,0.9946416584247756,0.005358341575224373,550000,28.071291220524856,-4.3627323975670166e-13,"[[0.668,0.326,0.006],[0.072,0.537,0.391]]"
560,-27.87292210956714,0.006442935485855415,-4.817336558701414,5.6472883461605864e-06,-4.817336558701414,5.6472883461605864e-06,18833,0.9946604926766668,0.005339507323333177,560000,27.713884401118133,-2.0166597280990243e-10,"[[0.204,0.521,0.275],[0.258,0.399,0.344]]"
570,-27.52826555958046,0.006344732568415464,-4.756678705395724,5.582511390272269e-06,-4.756678705395724,5.582511390272269e-06,19183,0.9947666326755595,0.005233367324440469,570000,27.379601309640726,-4.864457014974127e-09,"[[0.007,0.182,0.812],[0.433,0.363,0.204]]"
580,-27.205871505311485,0.006228110153542328,-4.701033217268869,5.545418561223779e-06,-4.701033217268869,5.545418561223779e-06,19537,0.9950025624882203,0.004997437511779729,580000,27.064693636614905,-152.54870285496077,"[[0.204,0.526,0.269],[0.259,0.399,0.343]]"
590,-26.894019002612687,0.00612284742566816,-4.641607702791341,5.6376306532958425e-06,-4.641607702791341,5.6376306532958425e-06,19894,0.9949137013592478,0.005086298640752163,590000,26.756310298076865,-2.883447258739152e-10,"[[0.205,0.529,0.266],[0.259,0.398,0.343]]"
600,-26.594908411226726,0.006017805105222494,-4.585520906673007,5.949285218360362e-06,-4.585520906673007,5.949285218360362e-06,20251,0.9949970413997166,0.005002958600283467,600000,26.46444867362737,-0.004530564134824404,"[[0.205,0.531,0.264],[0.26,0.398,0.342]]"
