episodes,avg_train_total_reward,avg_train_end_l2,avg_eval_total_reward,avg_eval_end_l2,eval_sod_reward,eval_sod_end_l2,time_elapsed,proportion_training,proportion_evalating,total_timesteps,loss,sample_r1,sample_a1
210,-31.222828142657768,0.005403947081414801,-5.428750573072165,1.735227571175114e-05,-5.428750573072165,1.735227571175114e-05,4141,0.9814662834174768,0.018533716582523226,210000,30.65984398948058,-77.9569467926945,"[[0.505,0.495],[0.507,0.493]]"
220,-30.010530278225957,0.005113828015232586,-5.189403203003622,1.6019272361165983e-05,-5.189403203003622,1.6019272361165983e-05,4344,0.9823468442095679,0.017653155790432147,220000,29.493747113001994,-3.905641833316369e-08,"[[0.842,0.158],[0.312,0.688]]"
230,-28.89821617365565,0.004868384807626179,-4.973510106172303,1.4857731237462419e-05,-4.973510106172303,1.4857731237462419e-05,4549,0.983300727248594,0.016699272751406008,230000,28.417803153678243,-3.686600108760758e-07,"[[0.896,0.104],[0.227,0.773]]"
240,-27.85749891562308,0.004668681868422972,-4.662469021388013,1.3844811096717046e-05,-4.662469021388013,1.3844811096717046e-05,4753,0.9841749675902598,0.015825032409740186,240000,27.54973811961071,-3.150261678300424e-05,"[[0.805,0.195],[0.292,0.708]]"
250,-27.759611800891896,0.005196868716111413,-4.527605125161579,1.23623643795998e-05,-4.527605125161579,1.23623643795998e-05,4958,0.9848603687292354,0.015139631270764585,250000,27.74376381972382,-3.7102787039548137,"[[0.535,0.465],[0.472,0.528]]"
260,-27.318134926607353,0.005431737039864861,-4.47786745116584,1.1342295522822097e-05,-4.47786745116584,1.1342295522822097e-05,5164,0.9853572819052869,0.014642718094713111,260000,26.891205222396927,-10.539739730131766,"[[0.537,0.463],[0.473,0.527]]"
270,-26.267750460470477,0.005223801470684746,-4.42506709016481,9.966030379178288e-06,-4.42506709016481,9.966030379178288e-06,5367,0.9859482878636934,0.014051712136306668,270000,25.7159403919127,0.0,"[[0.544,0.456],[0.476,0.524]]"
280,-24.92229063494984,0.005061088051930874,-4.357601770039024,8.943924564306189e-06,-4.357601770039024,8.943924564306189e-06,5571,0.9864900457332028,0.013509954266797186,280000,24.271942259231032,-199.06887051112002,"[[0.555,0.445],[0.474,0.526]]"
290,-23.590639272461782,0.0049497369281307,-4.283639158538114,8.690436997796171e-06,-4.283639158538114,8.690436997796171e-06,5776,0.9871866772536163,0.012813322746383696,290000,23.07775423569715,-21.572824885727687,"[[0.566,0.434],[0.468,0.532]]"
300,-22.56259804588364,0.004837662854980952,-4.203795956851462,8.386132537852933e-06,-4.203795956851462,8.386132537852933e-06,5980,0.987298297347007,0.012701702652993004,300000,22.17917646151888,-1.7743368359669958,"[[0.573,0.427],[0.465,0.535]]"
